suburb_state,postcode,suburb,state
"AARONS PASS, NSW",2850,AARONS PASS,NSW
"ABBA RIVER, WA",6280,ABBA RIVER,WA
"ABBEY, WA",6280,ABBEY,WA
"ABBEYARD, VIC",3737,ABBEYARD,VIC
"ABBEYWOOD, QLD",4613,ABBEYWOOD,QLD
"ABBOTSBURY, NSW",2176,ABBOTSBURY,NSW
"ABBOTSFORD, NSW",2046,ABBOTSFORD,NSW
"ABBOTSFORD, VIC",3067,ABBOTSFORD,VIC
"ABBOTSFORD, QLD",4670,ABBOTSFORD,QLD
"ABBOTSHAM, TAS",7315,ABBOTSHAM,TAS
"ABECKETT STREET, VIC",8006,ABECKETT STREET,VIC
"ABELS BAY, TAS",7112,ABELS BAY,TAS
"ABERCORN, QLD",4627,ABERCORN,QLD
"ABERCROMBIE, NSW",2795,ABERCROMBIE,NSW
"ABERCROMBIE RIVER, NSW",2795,ABERCROMBIE RIVER,NSW
"ABERDARE, NSW",2325,ABERDARE,NSW
"ABERDEEN, NSW",2336,ABERDEEN,NSW
"ABERDEEN, TAS",7310,ABERDEEN,TAS
"ABERFELDIE, VIC",3040,ABERFELDIE,VIC
"ABERFELDY, VIC",3825,ABERFELDY,VIC
"ABERFOYLE, NSW",2350,ABERFOYLE,NSW
"ABERFOYLE PARK, SA",5159,ABERFOYLE PARK,SA
"ABERGLASSLYN, NSW",2320,ABERGLASSLYN,NSW
"ABERGOWRIE, QLD",4850,ABERGOWRIE,QLD
"ABERMAIN, NSW",2326,ABERMAIN,NSW
"ABERNETHY, NSW",2325,ABERNETHY,NSW
"ABINGDON DOWNS, QLD",4892,ABINGDON DOWNS,QLD
"ABINGTON, NSW",2350,ABINGTON,NSW
"ABINGTON, QLD",4660,ABINGTON,QLD
"ABMINGA STATION, SA",5440,ABMINGA STATION,SA
"ACACIA CREEK, NSW",2476,ACACIA CREEK,NSW
"LOWER ACACIA CREEK, NSW",2476,LOWER ACACIA CREEK,NSW
"ACACIA GARDENS, NSW",2763,ACACIA GARDENS,NSW
"ACACIA HILLS, NT",0822,ACACIA HILLS,NT
"ACACIA HILLS, TAS",7306,ACACIA HILLS,TAS
"ACACIA RIDGE, QLD",4110,ACACIA RIDGE,QLD
"ACHERON, VIC",3714,ACHERON,VIC
"ACLAND, QLD",4401,ACLAND,QLD
"ACTON, ACT",2601,ACTON,ACT
"ACTON, TAS",7320,ACTON,TAS
"ACTON PARK, WA",6280,ACTON PARK,WA
"ACTON PARK, TAS",7170,ACTON PARK,TAS
"ADA, VIC",3833,ADA,VIC
"ADAMINABY, NSW",2629,ADAMINABY,NSW
"ADAMS ESTATE, VIC",3984,ADAMS ESTATE,VIC
"ADAMSTOWN, NSW",2289,ADAMSTOWN,NSW
"ADAMSTOWN HEIGHTS, NSW",2289,ADAMSTOWN HEIGHTS,NSW
"ADAMSVALE, WA",6375,ADAMSVALE,WA
"ADARE, QLD",4343,ADARE,QLD
"ADAVALE, QLD",4474,ADAVALE,QLD
"MOUNT ADAMS, WA",6525,MOUNT ADAMS,WA
"OLD ADAMINABY, NSW",2629,OLD ADAMINABY,NSW
"ADDINGTON, VIC",3352,ADDINGTON,VIC
"ADELAIDE, SA",5000,ADELAIDE,SA
"ADELAIDE, SA",5001,ADELAIDE,SA
"ADELAIDE AIRPORT, SA",5950,ADELAIDE AIRPORT,SA
"ADELAIDE BC, SA",5000,ADELAIDE BC,SA
"ADELAIDE LEAD, VIC",3465,ADELAIDE LEAD,VIC
"ADELAIDE PARK, QLD",4703,ADELAIDE PARK,QLD
"ADELAIDE RIVER, NT",0846,ADELAIDE RIVER,NT
"BRISBANE ADELAIDE STREET, QLD",4000,BRISBANE ADELAIDE STREET,QLD
"NORTH ADELAIDE, SA",5006,NORTH ADELAIDE,SA
"NORTH ADELAIDE MELBOURNE ST, SA",5006,NORTH ADELAIDE MELBOURNE ST,SA
"PORT ADELAIDE, SA",5015,PORT ADELAIDE,SA
"PORT ADELAIDE DC, SA",5015,PORT ADELAIDE DC,SA
"ADELONG, NSW",2729,ADELONG,NSW
"ADJUNGBILLY, NSW",2727,ADJUNGBILLY,NSW
"ADVANCETOWN, QLD",4211,ADVANCETOWN,QLD
"ADVENTURE BAY, TAS",7150,ADVENTURE BAY,TAS
"AEROGLEN, QLD",4870,AEROGLEN,QLD
"AFTERLEE, NSW",2474,AFTERLEE,NSW
"AGERY, SA",5558,AGERY,SA
"AGNES, VIC",3962,AGNES,VIC
"AGNES BANKS, NSW",2753,AGNES BANKS,NSW
"AGNES WATER, QLD",4677,AGNES WATER,QLD
"ST AGNES, QLD",4671,ST AGNES,QLD
"ST AGNES, SA",5097,ST AGNES,SA
"AINSLIE, ACT",2602,AINSLIE,ACT
"AINTREE, VIC",3336,AINTREE,VIC
"AIRDMILLAN, QLD",4807,AIRDMILLAN,QLD
"AIRDS, NSW",2560,AIRDS,NSW
"AIRE VALLEY, VIC",3237,AIRE VALLEY,VIC
"AIREYS INLET, VIC",3231,AIREYS INLET,VIC
"AIRLIE BEACH, QLD",4802,AIRLIE BEACH,QLD
"AIRLY, VIC",3851,AIRLY,VIC
"AIRPORT WEST, VIC",3042,AIRPORT WEST,VIC
"AIRVILLE, QLD",4807,AIRVILLE,QLD
"AITKENVALE, QLD",4814,AITKENVALE,QLD
"AJANA, WA",6532,AJANA,WA
"AKAROA, TAS",7216,AKAROA,TAS
"AKOLELE, NSW",2546,AKOLELE,NSW
"ALABAMA HILL, QLD",4820,ALABAMA HILL,QLD
"ALAWA, NT",0810,ALAWA,NT
"ALAWOONA, SA",5311,ALAWOONA,SA
"ALBACUTYA, VIC",3424,ALBACUTYA,VIC
"ALBANVALE, VIC",3021,ALBANVALE,VIC
"ALBANY, WA",6330,ALBANY,WA
"ALBANY CREEK, QLD",4035,ALBANY CREEK,QLD
"ALBANY DC, WA",6331,ALBANY DC,WA
"ALBANY PO, WA",6332,ALBANY PO,WA
"PORT ALBANY, WA",6330,PORT ALBANY,WA
"ALBERT, NSW",2873,ALBERT,NSW
"ALBERT PARK, VIC",3206,ALBERT PARK,VIC
"ALBERT PARK, SA",5014,ALBERT PARK,SA
"ALBERTA, QLD",4702,ALBERTA,QLD
"ALBERTON, VIC",3971,ALBERTON,VIC
"ALBERTON, QLD",4207,ALBERTON,QLD
"ALBERTON, SA",5014,ALBERTON,SA
"ALBERTON, TAS",7263,ALBERTON,TAS
"ALBERTON WEST, VIC",3971,ALBERTON WEST,VIC
"LAKE ALBERT, NSW",2650,LAKE ALBERT,NSW
"LAKE ALBERT, SA",5259,LAKE ALBERT,SA
"MONT ALBERT, VIC",3127,MONT ALBERT,VIC
"MONT ALBERT NORTH, VIC",3129,MONT ALBERT NORTH,VIC
"PORT ALBERT, VIC",3971,PORT ALBERT,VIC
"ALBINIA, QLD",4722,ALBINIA,QLD
"ALBION, VIC",3020,ALBION,VIC
"ALBION, QLD",4010,ALBION,QLD
"ALBION, QLD",4822,ALBION,QLD
"ALBION BC, QLD",4010,ALBION BC,QLD
"ALBION DC, QLD",4010,ALBION DC,QLD
"ALBION PARK, NSW",2527,ALBION PARK,NSW
"ALBION PARK RAIL, NSW",2527,ALBION PARK RAIL,NSW
"ALBURY, NSW",2640,ALBURY,NSW
"EAST ALBURY, NSW",2640,EAST ALBURY,NSW
"NORTH ALBURY, NSW",2640,NORTH ALBURY,NSW
"SOUTH ALBURY, NSW",2640,SOUTH ALBURY,NSW
"WEST ALBURY, NSW",2640,WEST ALBURY,NSW
"ALCOMIE, TAS",7330,ALCOMIE,TAS
"ALDAVILLA, NSW",2440,ALDAVILLA,NSW
"ALDERLEY, QLD",4051,ALDERLEY,QLD
"ALDERSHOT, QLD",4650,ALDERSHOT,QLD
"ALDERSYDE, WA",6306,ALDERSYDE,WA
"ALDGATE, SA",5154,ALDGATE,SA
"ALDINGA, SA",5173,ALDINGA,SA
"ALDINGA BEACH, SA",5173,ALDINGA BEACH,SA
"ALDOGA, QLD",4694,ALDOGA,QLD
"ALECTOWN, NSW",2870,ALECTOWN,NSW
"ALEXANDER HEIGHTS, WA",6064,ALEXANDER HEIGHTS,WA
"ALEXANDRA, VIC",3714,ALEXANDRA,VIC
"ALEXANDRA, QLD",4740,ALEXANDRA,QLD
"ALEXANDRA BRIDGE, WA",6288,ALEXANDRA BRIDGE,WA
"ALEXANDRA HEADLAND, QLD",4572,ALEXANDRA HEADLAND,QLD
"ALEXANDRA HILLS, QLD",4161,ALEXANDRA HILLS,QLD
"ALEXANDRIA, NSW",1435,ALEXANDRIA,NSW
"ALEXANDRIA, NSW",2015,ALEXANDRIA,NSW
"ALFORD, SA",5555,ALFORD,SA
"ALFORDS POINT, NSW",2234,ALFORDS POINT,NSW
"MOUNT ALFORD, QLD",4310,MOUNT ALFORD,QLD
"ALFRED COVE, WA",6154,ALFRED COVE,WA
"ALFREDTON, VIC",3350,ALFREDTON,VIC
"ALFREDTOWN, NSW",2650,ALFREDTOWN,NSW
"ALGESTER, QLD",4115,ALGESTER,QLD
"ALI CURUNG, NT",0872,ALI CURUNG,NT
"ALICE, NSW",2469,ALICE,NSW
"ALICE CREEK, QLD",4610,ALICE CREEK,QLD
"ALICE RIVER, QLD",4817,ALICE RIVER,QLD
"ALICE SPRINGS, NT",0870,ALICE SPRINGS,NT
"ALICE SPRINGS, NT",0871,ALICE SPRINGS,NT
"ALICE SPRINGS, NT",0872,ALICE SPRINGS,NT
"GLEN ALICE, NSW",2849,GLEN ALICE,NSW
"ALISON, NSW",2259,ALISON,NSW
"ALISON, NSW",2420,ALISON,NSW
"ALKIMOS, WA",6038,ALKIMOS,WA
"ALLAMBEE, VIC",3823,ALLAMBEE,VIC
"ALLAMBEE RESERVE, VIC",3871,ALLAMBEE RESERVE,VIC
"ALLAMBEE SOUTH, VIC",3871,ALLAMBEE SOUTH,VIC
"ALLAMBIE HEIGHTS, NSW",2100,ALLAMBIE HEIGHTS,NSW
"ALLAN, QLD",4370,ALLAN,QLD
"ALLANDALE, NSW",2320,ALLANDALE,NSW
"ALLANDALE, QLD",4310,ALLANDALE,QLD
"ALLANDALE STATION, SA",5723,ALLANDALE STATION,SA
"ALLANOOKA, WA",6525,ALLANOOKA,WA
"ALLANS FLAT, VIC",3691,ALLANS FLAT,VIC
"ALLANSFORD, VIC",3277,ALLANSFORD,VIC
"ALLANSON, WA",6225,ALLANSON,WA
"ALLAWAH, NSW",2218,ALLAWAH,NSW
"ALLEENA, NSW",2671,ALLEENA,NSW
"ALLENBY GARDENS, SA",5009,ALLENBY GARDENS,SA
"ALLENDALE, VIC",3364,ALLENDALE,VIC
"ALLENDALE EAST, SA",5291,ALLENDALE EAST,SA
"ALLENDALE NORTH, SA",5373,ALLENDALE NORTH,SA
"ALLENS RIVULET, TAS",7150,ALLENS RIVULET,TAS
"ALLENSTOWN, QLD",4700,ALLENSTOWN,QLD
"ALLENVIEW, QLD",4285,ALLENVIEW,QLD
"ALLESTREE, VIC",3305,ALLESTREE,VIC
"ALLGOMERA, NSW",2441,ALLGOMERA,NSW
"ALLIGATOR CREEK, QLD",4740,ALLIGATOR CREEK,QLD
"ALLIGATOR CREEK, QLD",4816,ALLIGATOR CREEK,QLD
"ALLINGHAM, QLD",4850,ALLINGHAM,QLD
"ALLORA, QLD",4362,ALLORA,QLD
"ALLOWAY, QLD",4670,ALLOWAY,QLD
"ALLWORTH, NSW",2425,ALLWORTH,NSW
"ALLYNBROOK, NSW",2311,ALLYNBROOK,NSW
"ALMA, VIC",3465,ALMA,VIC
"ALMA, SA",5401,ALMA,SA
"ALMA, WA",6535,ALMA,WA
"ALMA PARK, NSW",2659,ALMA PARK,NSW
"ALMADEN, QLD",4871,ALMADEN,QLD
"MOUNT ALMA, QLD",4680,MOUNT ALMA,QLD
"PORT ALMA, QLD",4699,PORT ALMA,QLD
"ALMONDS, VIC",3727,ALMONDS,VIC
"ALMURTA, VIC",3979,ALMURTA,VIC
"ALONNAH, TAS",7150,ALONNAH,TAS
"ALOOMBA, QLD",4871,ALOOMBA,QLD
"ALPANA, SA",5730,ALPANA,SA
"ALPHA, QLD",4724,ALPHA,QLD
"ALPHINGTON, VIC",3078,ALPHINGTON,VIC
"ALPINE, NSW",2575,ALPINE,NSW
"GLEN ALPINE, NSW",2560,GLEN ALPINE,NSW
"ALPURRURULAM, NT",4825,ALPURRURULAM,NT
"ALSACE, QLD",4702,ALSACE,QLD
"ALSTONVALE, NSW",2477,ALSTONVALE,NSW
"ALSTONVILLE, NSW",2477,ALSTONVILLE,NSW
"ALTON DOWNS, QLD",4702,ALTON DOWNS,QLD
"ALTON DOWNS STATION, SA",5733,ALTON DOWNS STATION,SA
"ALTONA, VIC",3018,ALTONA,VIC
"ALTONA, SA",5351,ALTONA,SA
"ALTONA EAST, VIC",3025,ALTONA EAST,VIC
"ALTONA GATE, VIC",3025,ALTONA GATE,VIC
"ALTONA MEADOWS, VIC",3028,ALTONA MEADOWS,VIC
"ALTONA NORTH, VIC",3025,ALTONA NORTH,VIC
"ALUMY CREEK, NSW",2460,ALUMY CREEK,NSW
"ALVA, QLD",4807,ALVA,QLD
"ALVIE, VIC",3249,ALVIE,VIC
"GLEN ALVIE, VIC",3979,GLEN ALVIE,VIC
"ALYANGULA, NT",0885,ALYANGULA,NT
"AMAMOOR, QLD",4570,AMAMOOR,QLD
"AMAMOOR CREEK, QLD",4570,AMAMOOR CREEK,QLD
"AMAROO, NSW",2866,AMAROO,NSW
"AMAROO, ACT",2914,AMAROO,ACT
"AMAROO, QLD",4829,AMAROO,QLD
"AMATA, SA",0872,AMATA,SA
"AMBANIA, WA",6632,AMBANIA,WA
"AMBARVALE, NSW",2560,AMBARVALE,NSW
"AMBER, QLD",4871,AMBER,QLD
"AMBERGATE, WA",6280,AMBERGATE,WA
"AMBERLEY, QLD",4306,AMBERLEY,QLD
"AMBLESIDE, TAS",7310,AMBLESIDE,TAS
"AMBROSE, QLD",4695,AMBROSE,QLD
"AMBY, QLD",4462,AMBY,QLD
"AMELUP, WA",6338,AMELUP,WA
"AMERICAN BEACH, SA",5222,AMERICAN BEACH,SA
"AMERICAN RIVER, SA",5221,AMERICAN RIVER,SA
"AMHERST, VIC",3371,AMHERST,VIC
"AMIENS, QLD",4380,AMIENS,QLD
"AMITY, QLD",4183,AMITY,QLD
"AMITY POINT, QLD",4183,AMITY POINT,QLD
"AMOONGUNA, NT",0873,AMOONGUNA,NT
"AMOR, VIC",3825,AMOR,VIC
"AMOSFIELD, NSW",4380,AMOSFIELD,NSW
"AMPHITHEATRE, VIC",3468,AMPHITHEATRE,VIC
"AMPILATWATJA, NT",0872,AMPILATWATJA,NT
"AMYTON, SA",5431,AMYTON,SA
"ANABRANCH NORTH, NSW",2648,ANABRANCH NORTH,NSW
"ANABRANCH SOUTH, NSW",2648,ANABRANCH SOUTH,NSW
"ANAKIE, VIC",3213,ANAKIE,VIC
"ANAKIE SIDING, QLD",4702,ANAKIE SIDING,QLD
"ANAMA, SA",5464,ANAMA,SA
"ANAMBAH, NSW",2320,ANAMBAH,NSW
"ANANGU PITJANTJATJARA YANKUNYTJATJARA, SA",0872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,SA
"ANATYE, NT",0872,ANATYE,NT
"ANCONA, VIC",3715,ANCONA,VIC
"ANDAMOOKA, SA",5722,ANDAMOOKA,SA
"ANDAMOOKA STATION, SA",5722,ANDAMOOKA STATION,SA
"ANDERGROVE, QLD",4740,ANDERGROVE,QLD
"ANDERLEIGH, QLD",4570,ANDERLEIGH,QLD
"ANDERSON, VIC",3995,ANDERSON,VIC
"ANDO, NSW",2631,ANDO,NSW
"ANDOVER, TAS",7120,ANDOVER,TAS
"ANDREWS, SA",5454,ANDREWS,SA
"ANDREWS FARM, SA",5114,ANDREWS FARM,SA
"ST ANDREWS, NSW",2566,ST ANDREWS,NSW
"ST ANDREWS, VIC",3761,ST ANDREWS,VIC
"ST ANDREWS BEACH, VIC",3941,ST ANDREWS BEACH,VIC
"ANDROMACHE, QLD",4800,ANDROMACHE,QLD
"ANDURAMBA, QLD",4355,ANDURAMBA,QLD
"ANEMBO, NSW",2621,ANEMBO,NSW
"ANGAS PLAINS, SA",5255,ANGAS PLAINS,SA
"ANGAS VALLEY, SA",5238,ANGAS VALLEY,SA
"ANGASTON, SA",5353,ANGASTON,SA
"ANGELO RIVER, WA",6642,ANGELO RIVER,WA
"ANGEPENA, SA",5732,ANGEPENA,SA
"ANGLE PARK, SA",5010,ANGLE PARK,SA
"ANGLE VALE, SA",5117,ANGLE VALE,SA
"ANGLEDALE, NSW",2550,ANGLEDALE,NSW
"ANGLEDOOL, NSW",2834,ANGLEDOOL,NSW
"ANGLERS REACH, NSW",2629,ANGLERS REACH,NSW
"ANGLERS REST, VIC",3898,ANGLERS REST,VIC
"ANGLESEA, VIC",3230,ANGLESEA,VIC
"ANGORIGINA, SA",5730,ANGORIGINA,SA
"ANGOURIE, NSW",2464,ANGOURIE,NSW
"ANGURUGU, NT",0822,ANGURUGU,NT
"ANGUS, NSW",2765,ANGUS,NSW
"ANINDILYAKWA, NT",0822,ANINDILYAKWA,NT
"ANKETELL, WA",6167,ANKETELL,WA
"MOUNT ANKETELL, WA",6714,MOUNT ANKETELL,WA
"ANMATJERE, NT",0872,ANMATJERE,NT
"ANNA BAY, NSW",2316,ANNA BAY,NSW
"ANNA CREEK, SA",5723,ANNA CREEK,SA
"ANNADALE, SA",5356,ANNADALE,SA
"ANNANDALE, NSW",2038,ANNANDALE,NSW
"ANNANDALE, QLD",4814,ANNANDALE,QLD
"ANNANGROVE, NSW",2156,ANNANGROVE,NSW
"ANNERLEY, QLD",4103,ANNERLEY,QLD
"ANNIEBROOK, WA",6280,ANNIEBROOK,WA
"ANNUELLO, VIC",3549,ANNUELLO,VIC
"ANSONS BAY, TAS",7264,ANSONS BAY,TAS
"ANSTEAD, QLD",4070,ANSTEAD,QLD
"ANTECHAMBER BAY, SA",5222,ANTECHAMBER BAY,SA
"ANTHONY, QLD",4310,ANTHONY,QLD
"ANTIGUA, QLD",4650,ANTIGUA,QLD
"ANTILL PONDS, TAS",7120,ANTILL PONDS,TAS
"ANTONYMYRE, WA",6714,ANTONYMYRE,WA
"ANTWERP, VIC",3414,ANTWERP,VIC
"ANULA, NT",0812,ANULA,NT
"APAMURRA, SA",5237,APAMURRA,SA
"APOINGA, SA",5413,APOINGA,SA
"APOLLO BAY, VIC",3233,APOLLO BAY,VIC
"APOLLO BAY, TAS",7150,APOLLO BAY,TAS
"APPILA, SA",5480,APPILA,SA
"APPIN, NSW",2560,APPIN,NSW
"APPIN, VIC",3579,APPIN,VIC
"APPIN SOUTH, VIC",3579,APPIN SOUTH,VIC
"APPLE TREE CREEK, QLD",4660,APPLE TREE CREEK,QLD
"APPLE TREE FLAT, NSW",2850,APPLE TREE FLAT,NSW
"APPLEBY, NSW",2340,APPLEBY,NSW
"APPLECROSS, WA",6153,APPLECROSS,WA
"APPLECROSS, WA",6953,APPLECROSS,WA
"APPLECROSS NORTH, WA",6153,APPLECROSS NORTH,WA
"CANNING BRIDGE APPLECROSS, WA",6153,CANNING BRIDGE APPLECROSS,WA
"APPLETHORPE, QLD",4378,APPLETHORPE,QLD
"APPLETREE FLAT, NSW",2330,APPLETREE FLAT,NSW
"APSLAWN, TAS",7190,APSLAWN,TAS
"APSLEY, NSW",2820,APSLEY,NSW
"APSLEY, VIC",3319,APSLEY,VIC
"APSLEY, TAS",7030,APSLEY,TAS
"DOUGLAS-APSLEY, TAS",7215,DOUGLAS-APSLEY,TAS
"ARABLE, NSW",2630,ARABLE,NSW
"ARAKOON, NSW",2431,ARAKOON,NSW
"ARALUEN, NT",0870,ARALUEN,NT
"ARALUEN, NSW",2622,ARALUEN,NSW
"ARALUEN, QLD",4570,ARALUEN,QLD
"ARAMAC, QLD",4726,ARAMAC,QLD
"ARAMARA, QLD",4620,ARAMARA,QLD
"NORTH ARAMARA, QLD",4620,NORTH ARAMARA,QLD
"ARANA HILLS, QLD",4054,ARANA HILLS,QLD
"ARANBANGA, QLD",4625,ARANBANGA,QLD
"ARANDA, ACT",2614,ARANDA,ACT
"ARAPILES, VIC",3409,ARAPILES,VIC
"ARARAT, VIC",3377,ARARAT,VIC
"ARATULA, NSW",2714,ARATULA,NSW
"ARATULA, QLD",4309,ARATULA,QLD
"ARAWATA, VIC",3951,ARAWATA,VIC
"ARBOUIN, QLD",4892,ARBOUIN,QLD
"ARBUCKLE, VIC",3858,ARBUCKLE,VIC
"ARCADIA, NSW",2159,ARCADIA,NSW
"ARCADIA, VIC",3631,ARCADIA,VIC
"ARCADIA, QLD",4819,ARCADIA,QLD
"ARCADIA SOUTH, VIC",3631,ARCADIA SOUTH,VIC
"ARCADIA VALE, NSW",2283,ARCADIA VALE,NSW
"ARCADIA VALLEY, QLD",4454,ARCADIA VALLEY,QLD
"ARCHDALE, VIC",3475,ARCHDALE,VIC
"ARCHDALE JUNCTION, VIC",3475,ARCHDALE JUNCTION,VIC
"ARCHER, NT",0830,ARCHER,NT
"ARCHER RIVER, QLD",4892,ARCHER RIVER,QLD
"ARCHERFIELD, QLD",4108,ARCHERFIELD,QLD
"ARCHERFIELD BC, QLD",4108,ARCHERFIELD BC,QLD
"ARCHERTON, VIC",3723,ARCHERTON,VIC
"MOUNT ARCHER, QLD",4514,MOUNT ARCHER,QLD
"MOUNT ARCHER, QLD",4701,MOUNT ARCHER,QLD
"ARCHIES CREEK, VIC",3995,ARCHIES CREEK,VIC
"ARCKARINGA, SA",5723,ARCKARINGA,SA
"ARCOONA, SA",5720,ARCOONA,SA
"ARCTURUS, QLD",4702,ARCTURUS,QLD
"ARDATH, WA",6419,ARDATH,WA
"ARDEER, VIC",3022,ARDEER,VIC
"ARDGLEN, NSW",2338,ARDGLEN,NSW
"ARDING, NSW",2358,ARDING,NSW
"ARDLETHAN, NSW",2665,ARDLETHAN,NSW
"ARDMONA, VIC",3629,ARDMONA,VIC
"ARDROSS, WA",6153,ARDROSS,WA
"ARDROSSAN, SA",5571,ARDROSSAN,SA
"AREEGRA, VIC",3480,AREEGRA,VIC
"AREYONGA, NT",0872,AREYONGA,NT
"ARGALONG, NSW",2720,ARGALONG,NSW
"ARGENTON, NSW",2284,ARGENTON,NSW
"ARGENTS HILL, NSW",2449,ARGENTS HILL,NSW
"ARGOON, NSW",2707,ARGOON,NSW
"ARGYLE, NSW",2350,ARGYLE,NSW
"ARGYLE, VIC",3523,ARGYLE,VIC
"ARGYLE, WA",6239,ARGYLE,WA
"LAKE ARGYLE, WA",6743,LAKE ARGYLE,WA
"ARGYLL, QLD",4721,ARGYLL,QLD
"ARIAH PARK, NSW",2665,ARIAH PARK,NSW
"ARKAROOLA, SA",5732,ARKAROOLA,SA
"ARKAROOLA VILLAGE, SA",5701,ARKAROOLA VILLAGE,SA
"ARKELL, NSW",2795,ARKELL,NSW
"ARKSTONE, NSW",2795,ARKSTONE,NSW
"ARMADALE, VIC",3143,ARMADALE,VIC
"ARMADALE, WA",6112,ARMADALE,WA
"ARMADALE, WA",6992,ARMADALE,WA
"ARMADALE NORTH, VIC",3143,ARMADALE NORTH,VIC
"ARMAGH, SA",5453,ARMAGH,SA
"ARMATREE, NSW",2828,ARMATREE,NSW
"ARMIDALE, NSW",2350,ARMIDALE,NSW
"ARMIDALE DC, NSW",2350,ARMIDALE DC,NSW
"ARMIDALE EAST, NSW",2350,ARMIDALE EAST,NSW
"WEST ARMIDALE, NSW",2350,WEST ARMIDALE,NSW
"ARMSTRONG, VIC",3377,ARMSTRONG,VIC
"ARMSTRONG BEACH, QLD",4737,ARMSTRONG BEACH,QLD
"ARMSTRONG CREEK, VIC",3217,ARMSTRONG CREEK,VIC
"ARMSTRONG CREEK, QLD",4520,ARMSTRONG CREEK,QLD
"ARNCLIFFE, NSW",2205,ARNCLIFFE,NSW
"ARNDELL PARK, NSW",2148,ARNDELL PARK,NSW
"ARNO BAY, SA",5603,ARNO BAY,SA
"ARNOLD, NT",0852,ARNOLD,NT
"ARNOLD, VIC",3551,ARNOLD,VIC
"ARNOLD WEST, VIC",3551,ARNOLD WEST,VIC
"AROONA, QLD",4551,AROONA,QLD
"ARRAWARRA, NSW",2456,ARRAWARRA,NSW
"ARRAWARRA HEADLAND, NSW",2456,ARRAWARRA HEADLAND,NSW
"ARRIGA, QLD",4880,ARRIGA,QLD
"ARRINO, WA",6519,ARRINO,WA
"ARROWSMITH, WA",6525,ARROWSMITH,WA
"ARROWSMITH EAST, WA",6519,ARROWSMITH EAST,WA
"ARTARMON, NSW",1570,ARTARMON,NSW
"ARTARMON, NSW",2064,ARTARMON,NSW
"ARTHUR RIVER, WA",6315,ARTHUR RIVER,WA
"ARTHUR RIVER, TAS",7330,ARTHUR RIVER,TAS
"ARTHURS CREEK, VIC",3099,ARTHURS CREEK,VIC
"ARTHURS LAKE, TAS",7030,ARTHURS LAKE,TAS
"ARTHURS SEAT, VIC",3936,ARTHURS SEAT,VIC
"ARTHURTON, SA",5572,ARTHURTON,SA
"ARTHURVILLE, NSW",2820,ARTHURVILLE,NSW
"ARUMBERA, NT",0873,ARUMBERA,NT
"ARUMPO, NSW",2715,ARUMPO,NSW
"ARUNDEL, QLD",4214,ARUNDEL,QLD
"ARUNDEL DC, QLD",4214,ARUNDEL DC,QLD
"ASCOT, VIC",3364,ASCOT,VIC
"ASCOT, VIC",3551,ASCOT,VIC
"ASCOT, QLD",4007,ASCOT,QLD
"ASCOT, QLD",4359,ASCOT,QLD
"ASCOT, WA",6104,ASCOT,WA
"ASCOT PARK, SA",5043,ASCOT PARK,SA
"ASCOT VALE, VIC",3032,ASCOT VALE,VIC
"ASHBOURNE, VIC",3442,ASHBOURNE,VIC
"ASHBOURNE, SA",5157,ASHBOURNE,SA
"ASHBURTON, VIC",3147,ASHBURTON,VIC
"ASHBURY, NSW",2193,ASHBURY,NSW
"ASHBY, NSW",2463,ASHBY,NSW
"ASHBY, WA",6065,ASHBY,WA
"ASHBY HEIGHTS, NSW",2463,ASHBY HEIGHTS,NSW
"ASHBY ISLAND, NSW",2463,ASHBY ISLAND,NSW
"ASHCROFT, NSW",2168,ASHCROFT,NSW
"ASHENDON, WA",6111,ASHENDON,WA
"ASHFIELD, NSW",1800,ASHFIELD,NSW
"ASHFIELD, NSW",2131,ASHFIELD,NSW
"ASHFIELD, QLD",4670,ASHFIELD,QLD
"ASHFIELD, WA",6054,ASHFIELD,WA
"ASHFORD, NSW",2361,ASHFORD,NSW
"ASHFORD, SA",5035,ASHFORD,SA
"ASHGROVE, QLD",4060,ASHGROVE,QLD
"ASHGROVE EAST, QLD",4060,ASHGROVE EAST,QLD
"ASHLEY, NSW",2400,ASHLEY,NSW
"ASHMONT, NSW",2650,ASHMONT,NSW
"ASHMORE, QLD",4214,ASHMORE,QLD
"ASHMORE CITY, QLD",4214,ASHMORE CITY,QLD
"ASHTON, SA",5137,ASHTON,SA
"ASHTONFIELD, NSW",2323,ASHTONFIELD,NSW
"ASHVILLE, SA",5259,ASHVILLE,SA
"ASHWELL, QLD",4340,ASHWELL,QLD
"ASHWOOD, VIC",3147,ASHWOOD,VIC
"ASPENDALE, VIC",3195,ASPENDALE,VIC
"ASPENDALE GARDENS, VIC",3195,ASPENDALE GARDENS,VIC
"ASPLEY, QLD",4034,ASPLEY,QLD
"ASQUITH, NSW",2077,ASQUITH,NSW
"ATHELSTONE, SA",5076,ATHELSTONE,SA
"ATHERTON, QLD",4883,ATHERTON,QLD
"ATHLONE, VIC",3818,ATHLONE,VIC
"ATHOL, QLD",4350,ATHOL,QLD
"ATHOL PARK, SA",5012,ATHOL PARK,SA
"ATHOLWOOD, NSW",2361,ATHOLWOOD,NSW
"BLAIR ATHOL, NSW",2560,BLAIR ATHOL,NSW
